Date,Season,Year,Type,Country,Source,Age,Sex,State,Location,Fatal Y/N,Activity,Species
18-Mar,Spring,2026,Unprovoked,usa,us sun: mendocino coast news:melissa michaelson:,39,M,California,Big River Beach Mendocino County,N,surfing,white shark
14-Mar,,2026,Unprovoked,australia,people magazine: kevin mcmurray trackingsharks.com,Unknown,F,Western Australia,Exmouth,N,swimming,other
10-Mar,,2026,Unprovoked,australia,perth now: kevin mcmurray trackingsharks.com,Unknown,M,Western Australia,Exmouth,N,other,white shark
05-Mar,,2026,Unprovoked,australia,news.com.au: abc news: andy currie,Unknown,M,Queensland,Lady Elliott Island,N,snorkeling,other
22-Feb,,2026,Unprovoked,new caledonia,johannes marchand: andy currie,55,M,Noumea,Anse Vata near Point Magnin,Y,other,tiger shark
06-Feb,,2026,Unprovoked,cayman islands,kevin mcmurray trackingshark.som,Unknown,M,Unknown,Caribbean Sea,N,diving,tiger shark
29-Jan,,2026,Unprovoked,brazil,kevin mcmurray trackingsharks.com: tv globo: people: surfer magazine,13,M,Recife,Del Chifre Beach in Olinda,Y,swimming,tiger shark
29-Jan,,2026,Unprovoked,australia,bob myatt gsaf,Unknown,M,Nsw,Angels Beach East Ballina,N,surfing,other
24-Jan,,2026,Unprovoked,australia,bob myatt gsaf,Unknown,F,Tasmania,Cooee Beach west of Burnie,N,swimming,other
20-Jan,,2026,Unprovoked,australia,bob myatt gsaf,39,M,Nsw,Point Plomber North of Port Macquarie,N,surfing,bull shark
19-Jan,,2026,Unprovoked,australia,andy currie,11,M,Nsw,Dee Why,N,surfing,bull shark
19-Jan,,2026,Unprovoked,australia,9 news: bob myatt gsaf,27,M,Nsw,North Steyne ,N,surfing,other
18-Jan,,2026,Unprovoked,australia,bob myatt gsaf,12,M,Nsw,Nielsen Park Vaucluse Sydney Harbour,Y,other,bull shark
13-Jan,Winter,2026,Unprovoked,usa,bob myatt gsaf,26,M,California,Mendocino County ,N,surfing,other
10-Jan,,2026,Unprovoked,australia,bob myatt gsaf,Unknown,M,Nsw,Avalon Beach,N,surfing,other
08-Jan,,2026,Unprovoked,us virgin islands,todd smith: kevinmcmurray trackingsharks.com,56,F,Unknown,Dorsch Beach,Y,snorkeling,other
05-Jan,,2026,Unprovoked,mozambique,kevin mcmurray trackingsharks.com : macao news:,Unknown,M,Inhambe Province,Vilanculous District,Y,diving,other
03-Jan,,2026,Provoked,new caledonia,andy currie: province sud:,Unknown,M,Kélé,Between Bourail and Moindou,N,other,other
25-Dec,,2025,Unprovoked,mozambique,kevin mcmurray trackingsharks.com,Unknown,Unknown,Inhambe Province,Prainha,Y,other,other
21-Dec,,2025,Unprovoked,australia,7 news: facebook: bob myatt gsaf,Unknown,M,Western Australia,Ocean Reef North Perth,N,other,white shark
21-Dec,Winter,2025,Unprovoked,usa,kevin mcmurray tracking sharks.com: ralph collier gsaf: james kingsley: sfgate:,55,F,California,Lovers Point Pacific Grove,Y,swimming,white shark
12-Dec,Winter,2025,Unprovoked,usa,kevin mcmurray tracking sharks.com:andrew currie: facebook sonoma sheriff's office:,Unknown,M,Sonoma County California,Salmon Creek,N,surfing,white shark
09-Dec,Winter,2025,Provoked,usa,hawaii news now:diver.net,24,M,Unknown,"Ka'alu""alu Beach",N,other,reef shark
27-Nov,,2025,Unprovoked,australia,media: todd smith: andy currie: simon de marchi: kevin mcmurray tracking sharks.com,26,M,Nsw,Crowdy Bay,N,swimming,bull shark
27-Nov,,2025,Unprovoked,australia,media: todd smith: andy currie: simon de marchi: kevin mcmurray tracking sharks.com,25,F,Nsw,Crowdy Bay,Y,swimming,bull shark
10-Nov,,2025,Unprovoked,australia,andy currie,61,M,Western Australia,Prevelly Beach Magaret River,N,other,white shark
09-Nov,,2025,Unprovoked,french polynesia,andrew currie,40,M,Unknown,Hakahau Bay,N,swimming,other
05-Nov,Fall,2025,Unprovoked,usa,james kingsley: andy currie: beat of hawaii:,Unknown,M,Hawaii,Pine Trees Hanalei Bay Kaui,N,swimming,other
05-Nov,Fall,2025,Unprovoked,usa,christofer eskander: the bay city tribune:,Unknown,M,Texas,Matagorda Beach Matagorda,N,fishing,other
04-Nov,,2025,Unprovoked,samoa,andy currie: stab magazine: facebook samoa observers post:,13,M,Unknown,Aga Reef Resort Lalomanu,N,surfing,tiger shark
14-Oct,,2025,Unprovoked,columbia,kevin mcmurray trackingsharks.com andy currie,14,M,"Bolivar, Del Isolate",Catagena Province,N,swimming,other
11-Oct,,2025,Unprovoked,australia,kevin mcmurray trackingsharks.com,14,M,Queensland,Cook Esplanade Thursday Island,N,swimming,tiger shark
07-Oct,,2025,Unprovoked,australia,kevin mcmurray trackingsharks.com,Unknown,M,South Australia,Kangaroo Island,N,surfing,whaler shark
29-Sep,Fall,2025,Unprovoked,usa,todd smith: kevin mcmurray trackingsharks.com,54,M,Unknown,Catalina Island,N,swimming,other
27-Sep,,2025,Provoked,costa rica,todd smith: kevin mcmurray trackingsharks.com,48,M,Unknown,Cocos Islands,N,other,tiger shark
06-Sep,,2025,Unprovoked,australia,todd smith: andy currie: simon de marchi: kevin mcmurray trackingsharks.com:,57,M,Nsw,Long Reef Sydney,Y,surfing,white shark
16-Sep,Fall,2012,Unprovoked,usa,"florida today, 9/16/2012",52,M,Florida," Cocoa Beach, Brevard  County",N,surfing,other
30-Aug,Summer,2025,Unprovoked,usa,bob myatt gsaf : people:,8,F,Texas,Galveston,N,swimming,other
18-Aug,,2025,Unprovoked,australia,bob myatt gsaf the guardian: 9 news: abs news: daily telegraph:,Unknown,M,Nsw,Cabarita Beach,N,surfing,white shark
17-Aug,,2025,Unprovoked,bahamas,ralph collier gsaf and kevin mcmurray trackingsharks.com,63,M,Unknown,North of Grand Bahama near Freeport,N,fishing,other
16-Aug,Summer,2025,Provoked,usa,johannes marchand: kevin mcmurray trackingsharks.com,Unknown,M,Florida,Cayo Costa Boca Grande,N,fishing,other
07-Aug,,2025,Unprovoked,australia,bob myatt gsaf,9,M,Nsw,Tathra Beach ,N,surfing,white shark
01-Aug,,2025,Unprovoked,puerto rico,kevin mcmurray trackingsharks.com: ny post,39,F,Carolina,Carolina Beach,N,wading,other
28-Jul,,2025,Unprovoked,australia,bob myatt gsaf: simon de marchi:,19,M,South Australia,Seacliff beach Adelaide,N,kayaking,white shark
25-Jul,,2025,Unprovoked,french polynesia,brandyn gartelman:kevin mcmurray trackingsharks.com,7,M,Nuku Hiva,Taiohae Bay,N,swimming,other
22-Jul,,2025,Unprovoked,spain,bob myatt gsaf,85,F,Majorca,Playa de Palma beach,N,swimming,other
20-Jul,,2025,Unprovoked,canary islands,kevin mcmurray trackingsharks.com,Unknown,M,Fuerteventura,Los Mollinas,N,surfing,other
19-Jul,Summer,2025,Unprovoked,usa,brandyn gartelman: kevin mcmurray trackingsharks.com nbc 6:,69,M,Florida,Jupiter Inlet off Jupiter Beach Palm Beach County,N,diving,other
18-Jul,Summer,2025,Unprovoked,usa,brandyn gartelman: kevin mcmurray trackingsharks.com; fox 35,18,M,Florida,New Smyrna Beach,N,surfing,other
15-Jul,,2025,Unprovoked,bahamas,kevin mcmurray trackingsharks.com: the palm beach post,66,M,Unknown,Spanish Cay,N,fishing,bull shark
06-Jul,Summer,2025,Provoked,usa,johannes marchand: nantucket current,21,M,Massachusetts,Hoicks Hollow Nantucket Beach,N,fishing,other
06-Jul,Summer,2025,Unprovoked,usa,todd smith:kevin mcmurray trackingsharks.com: fox 35:,40,M,Florida,New Smyrna Beach,N,surfing,other
04-Jul,,2025,Unprovoked,south africa,kevin mcmurray tracking sharks.com: east coast radio,37,M,Kwazulu-Natal,Mfazazana Hibberdene,Y,fishing,other
29-Jun,,2025,Unprovoked,australia,simon de marchi: kevin mcmurray trackingsharks.com: 9 news: daily mail:,16,M,Nsw,Norries Headland Cabarita Beach,N,swimming,bull shark
25-Jun,Summer,2025,Unprovoked,usa,scott curatolo-wagemann: news 12 long island: cnn:,20,F,Unknown,Wantagh,N,swimming,tiger shark
22-Jun,Summer,2025,Unprovoked,usa,todd smith: wjcl22 news: the island packet: kvnu:,Unknown,F,South Carolina,Coligny Beach Hilton Head Island  ,N,swimming,other
17-Jun,Summer,2025,Unprovoked,usa,kevin mcmurray trackingsharks.com:,12,F,South Carolina,Beach Marker 24 Hilton Head Island  ,N,swimming,other
11-Jun,Summer,2025,Unprovoked,usa,kevin mcmurray trackingsharks.com: james kingsley: fox 4 news,9,F,Florida,Boca Grande,N,snorkeling,bull shark
31-May,Spring,2025,Unprovoked,usa,james kingsley: the us sun,42,M,California,Montara State Beach,N,surfing,white shark
29-May,Spring,2025,Unprovoked,usa,kevin mcmurray trackingsharks.com: clay crewell:scott curatolo-wageman,26,M,North Carolina,Sunset Beach,N,swimming,other
26-May,,2025,Unprovoked,vanuatu,kevin mcmurray trackingsharks.com,14,M,South Santo,Espiitu Santo Island,Y,swimming,other
15-May,,2025,Unprovoked,australia,simon demarchi: todd smith: 9 news:abc news,66,M,South Australia,Port Noarlunga,N,swimming,other
08-May,,2025,Unprovoked,jamaica,the sun news: metro: kevin mcmurray tracking sharks.com,26,F,Unknown,Rose Hall beach,N,other,other
21-Apr,,2025,Unprovoked,israel,ynetnews.com: dailymirroe.co.uk: todd smith alessandro maddalena: andrew currie,45,M,Hadera,Olga Beach near Hadera Stream ,Y,diving,other
20-Apr,,2025,Unconfirmed,mexico,"mundo now: reutir"" kevin mcmurray trackingsharks.com",20,M,Quntana Roo,Chac Mool Beach Cancun,Y,other,other
19-Apr,,2025,Unprovoked,maldives,todd smith: the edition: https://en.sun.mv/96031,30,M,Kulhudhuffushi City,Haa Dhaalu atoll,N,snorkeling,other
12-Apr,Spring,2025,Unprovoked,usa,kevin mcmurray trackingsharks.com: florida news: www.dailymail.co.uk,Unknown,M,Florida,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),N,other,other
26-Mar,,2025,Unprovoked,australia,kevin mcmurray trackingsharks.com: www.surfer.com,Unknown,M,Wa,Sandtrax Port Beach North Fremantle Perth,N,swimming,tiger shark
10-Mar,,2025,Unprovoked,australia,bob myatt,37,M,Wa,Duke of Orleans Bay,Y,surfing,white shark
07-Mar,,2025,Unprovoked,australia,bob myatt,56,F,Nsw,Gunyah beach Bundeena Port Hacking,N,swimming,bull shark
27-Feb,,2025,Unprovoked,australia,kevin mcmurray trackingsharks.com,Unknown,M,Victoria,Nuns Beach near Portland,N,swimming,other
27-Feb,,2025,Unconfirmed,philippines,stephen parkhill   glen folkard,29,M,Batangas Resort,Verde Island,Y,other,other
22-Feb,,2025,Unprovoked,australia,bob myatt gsaf,35,F,Western Australia,Blasck Wall Reach Swan River Perth,N,kayaking,other
22-Feb,,2025,Unconfirmed,australia,simon de marchi: bob myatt gsaf,58,M,Nsw,Off Port Stephens near Newcastle,Y,fishing,mako shark
22-Feb,,2025,Unprovoked,australia,bob myatt gsaf,29,M,Queensland,The Wrecks walking track Moreton Island,N,snorkeling,other
10-Feb,,2025,Unprovoked,bahamas,dail mail australia todd smith: kevin mcmurray trackingsharks.com,24,F,Unknown,Bimini Bay,N,swimming,bull shark
10-Feb,,2025,Unprovoked,bahamas,dail mail australia todd smith: kevin mcmurray trackingsharks.com,20,F,Unknown,Bimini Bay,N,swimming,bull shark
07-Feb,,2025,Unprovoked,turks and caicos,todd smith: platform x kevin mcmurray  trackingsharks.com,55,F,Near Five Cays Settlement West Caicos,Thompson Cove Beach,N,swimming,bull shark
03-Feb,,2025,Unprovoked,australia,9 news: the brisbane times: the guardian,17,F,Queensland,"Woorim Beach, Bribie Island,",Y,swimming,bull shark
23-Jan,,2025,Unprovoked,australia,bob myatt gsaf,12,M,Western Australia,Shipwreck Cove,N,other,other
22-Jan,,2025,Unprovoked,australia,bob myatt gsaf,37,M,Western Australia,Cheynes beach ,N,surfing,whaler shark
03-Jan,,2025,Unprovoked,mozambique,kevin mcmurray trackingsharks.com,36,M,Inhambane Province,Vilankulo Bay,Y,fishing,other
11-Jan,Winter,2025,Provoked,usa,kevin mcmurray trackingsharks.com,23,M,Hawaii,Off Haleiwa Boat Harbour Oahu,N,diving,other
02-Jan,,2025,Unprovoked,new caledonia,johannes marchand todd smith,40,M,Grande Terre,Islet of Kendek near Koumac,Y,fishing,tiger shark
02-Jan,,2025,Unprovoked,australia,glen folkard: simon de marchi news.com.au: the news daily: the national tribune:,28,M,South Australia,Granites Beach near Westall Streaky Bay,Y,surfing,white shark
30-Dec,,2024,Unprovoked,mozambique,kevin mcmurray trackingsharks.com,Unknown,M,Unknown,?,Y,diving,other
29-Dec,,2024,Unprovoked,egypt,todd smith : kevin mcmurray trackingsharks .com: christofer eskander: simon de marchi: glen folkard,69,M,North Of Marsa Alam,Red Sea,N,other,tiger shark
29-Dec,,2024,Unprovoked,egypt,todd smith : kevin mcmurray trackingsharks .com: christofer eskander: simon de marchi: glen folkard,48,M,North Of Marsa Alam,Red Sea,Y,other,tiger shark
28-Dec,,2024,Unprovoked,australia,todd smith glen folkard abc news: the north west star: 9.com.au:,40,M,Queensland,Humpy Island Great Keppel Island,Y,fishing,other
02-Dec,,2024,Unprovoked,australia,glen folkard gsaf,Unknown,M,Queensland,Curtis Island Near Gladstone QLD central coast,N,fishing,other
01-Dec,,2024,Unprovoked,australia,bob myatt gsaf,Unknown,M,Western Australia,Greenough River Mouth Beach Cape Burney 12km south of Geraldton,N,surfing,other
30-Nov,,2024,Unprovoked,thailand,kevin mcmurray tracking sharks.com,57,F,Phang Nga Province,Khao Lak Beach,N,swimming,other
19-Nov,,2024,Unprovoked,new zealand,glen folkhard: todd smith: andy currie kevin mcmurray tracking sharks.com,24,M,Unknown,Chatham Islands,Y,diving,white shark
15-Nov,,2024,Unprovoked,maldives,the edition: kevin mcmurray tracking sharks.com: andy currie,45,F,Kaafu,Maafushi,N,diving,other
01-Nov,,2024,Unprovoked,hawaii,glen folkard: independent: fox news: sky news hawaii news hour:,61,M,Maui,Sand Piles Waiehu Beach Park,N,surfing,other
31-Oct,,2024,Unprovoked,australia,simon de marchi: 9 news: 7 news: abc news:,57,F,Queensland,Whitsunday Islands,N,snorkeling,tiger shark
21-Oct,Fall,1984,Unprovoked,usa,"miami herald, 10/24/1984, p.17a",23,F,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",N,surfing,other
14-Oct,,2024,Unprovoked,honduras,georgienne bradley: daily mail uk: ftn news.com,38,M,Tela,Atlantida,N,swimming,bull shark
12-Nov,Fall,1963,Provoked,usa,d.r. nelson,Unknown,M,Florida,"8 miles south of Elliot Key, Miami-Dade County",N,other,other
26-Sep,,2024,Unconfirmed,indonesia,new york post: espn: bob myatt gsaf,68,F,Timor Leste,Pulau Reong Island,Y,other,tiger shark
