Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
surfing,Injuries to both legs and feet,non-fatal,white shark,39,Adult,,,,,,
swimming,Minor injuries,non-fatal,other,,Unknown,,,,,,
other,None reported damage to board,non-fatal,white shark,,Unknown,,,,,,
snorkeling,Lacerations elbow and abdomen,non-fatal,other,,Unknown,,,,,,
other,Deep wounds arms and legs,fatal,tiger shark,55,Adult,,,,,,
diving,Minor puncture wounds to thigh,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Right thigh and lower leg stripped of flesh,fatal,tiger shark,13,Teen,,,,,,
surfing,No injury shark knocked man of  his board,non-fatal,other,,Unknown,,,,,,
swimming,Puncture wounds to right knee,non-fatal,other,,Unknown,,,,,,
surfing,Minor cuts and abrasions ,non-fatal,bull shark,39,Adult,,,,,,
surfing,None reported damage to board,non-fatal,bull shark,11,Child,,,,,,
surfing,Serious Leg injuries,non-fatal,other,27,Young Adult,,,,,,
other,Serious leg injuries,fatal,bull shark,12,Child,,,,,,
surfing,Minor puncture wounds to upper left thigh,non-fatal,other,26,Young Adult,,,,,,
surfing,Puncture mark to left thumb,non-fatal,other,,Unknown,,,,,,
snorkeling,Left arm torn off in the attack below the elbow ,fatal,other,56,Adult,,,,,,
diving,Unknlown,fatal,other,,Unknown,,,,,,
other,None to report,non-fatal,white shark,,Unknown,,,,,,
swimming,Taken by shark body recovered with multiple injuries,fatal,white shark,55,Adult,,,,,,
surfing,Hand Injury,non-fatal,white shark,,Unknown,,,,,,
other,Bite wounds to thigh,non-fatal,reef shark,24,Young Adult,,,,,,
swimming,Serious leg injuries,non-fatal,bull shark,26,Young Adult,,,,,,
swimming,Not stated,fatal,bull shark,25,Young Adult,,,,,,
other,No Injury to self,non-fatal,white shark,61,Senior,,,,,,
swimming,Deep Gash to bicep,non-fatal,other,40,Adult,,,,,,
swimming,Injuries to legs,non-fatal,other,,Unknown,,,,,,
fishing,Laceration on top and undermeath right foot,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to right leg,non-fatal,tiger shark,13,Teen,,,,,,
swimming,Severe hand injury,non-fatal,other,14,Teen,,,,,,
swimming,Serious abdonminal injuries,non-fatal,tiger shark,14,Teen,,,,,,
surfing,Lacerations to calf ,non-fatal,whaler shark,,Unknown,,,,,,
swimming,Leg and foot injury,non-fatal,other,54,Adult,,,,,,
other,Head face and arms,non-fatal,tiger shark,48,Adult,,,,,,
surfing,Both legs and arm severed,fatal,white shark,57,Adult,,,,,,
snorkeling,Bite to leg,non-fatal,other,8,Child,,,,,,
swimming,Bite to leg,non-fatal,other,8,Child,,,,,,
surfing,None sustained board severly damaged,non-fatal,white shark,,Unknown,,,,,,
fishing,Severe injuries no detail,non-fatal,other,63,Senior,,,,,,
fishing,Laceration to right leg below the knee,non-fatal,other,,Unknown,,,,,,
surfing,None sustained board severely damaged,non-fatal,white shark,9,Child,,,,,,
wading,Bite to thigh area,non-fatal,other,39,Adult,,,,,,
kayaking,Kayak badly damaged no injury to person,non-fatal,white shark,19,Young Adult,,,,,,
swimming,Injuries to right forearm left hand and calf was missing,non-fatal,other,7,Child,,,,,,
swimming,Gash to leg,non-fatal,other,85,Senior,,,,,,
surfing,Lacerations to left leg above the knee,non-fatal,other,,Unknown,,,,,,
diving,Lacerations to right forearm ,non-fatal,other,69,Senior,,,,,,
surfing,Lacerations to left foot,non-fatal,other,18,Teen,,,,,,
fishing,Lacerations to right arm,non-fatal,bull shark,66,Senior,,,,,,
fishing,Injury to leg,non-fatal,other,21,Young Adult,,,,,,
surfing,Lacerations to right arm,non-fatal,other,40,Adult,,,,,,
fishing,Mltiple injuries to body,fatal,other,37,Adult,,,,,,
swimming,Serious bites to r bicep r wrist and r leg,non-fatal,bull shark,16,Teen,,,,,,
swimming,Lacerations to lower left foot and leg,non-fatal,tiger shark,20,Young Adult,,,,,,
swimming,Laceration to lower right leg,non-fatal,other,,Unknown,,,,,,
swimming,Laceration to lower right leg,non-fatal,other,12,Child,,,,,,
snorkeling,Right hand almost torn off,non-fatal,bull shark,9,Child,,,,,,
surfing,No injury ,non-fatal,white shark,42,Adult,,,,,,
swimming,Gash to lower left leg,non-fatal,other,26,Young Adult,,,,,,
swimming,Multiple injuries to body one hand and leg bitten off,fatal,other,14,Teen,,,,,,
swimming,Injury to thigh,non-fatal,other,66,Senior,,,,,,
diving,Remains recovered several days after the attcks,fatal,other,45,Adult,,,,,,
snorkeling,Injuries to right shoulder,non-fatal,other,30,Young Adult,,,,,,
swimming,Bumping to the body,non-fatal,tiger shark,,Unknown,,,,,,
surfing,Missing body not recovered,fatal,white shark,37,Adult,,,,,,
swimming,Serious lacerations above right knee.,non-fatal,bull shark,56,Adult,,,,,,
swimming,minor lacerations to left calf,non-fatal,other,,Unknown,,,,,,
kayaking,None kayak badly damaged by shark,non-fatal,other,35,Young Adult,,,,,,
fishing,Body not recovered,fatal,mako shark,58,Adult,,,,,,
snorkeling,Abdominal and leg injuries,non-fatal,other,29,Young Adult,,,,,,
swimming,Left foot injured,non-fatal,bull shark,24,Young Adult,,,,,,
swimming,Severed archilles tendon artery severed nerves severed.,non-fatal,bull shark,20,Young Adult,,,,,,
swimming,both hands bitten off and a bite to left thigh,non-fatal,bull shark,55,Adult,,,,,,
swimming,Bites to arm and upper body,fatal,bull shark,17,Teen,,,,,,
surfing,None - chunk of surfboard  bitten out,non-fatal,whaler shark,37,Adult,,,,,,
fishing,"Legs, buttocks and stomach ",fatal,other,36,Adult,,,,,,
diving,Bitten on the arm,non-fatal,other,23,Young Adult,,,,,,
fishing,Severe arm injury and delay in medical treatment caused victim to die ,fatal,tiger shark,40,Adult,,,,,,
surfing,Body not recovered,fatal,white shark,28,Young Adult,,,,,,
diving,Diving for sea urchins attacked by shark injuries not specified,fatal,other,,Unknown,,,,,,
other,Injuries to stomach preventing attack on friend,non-fatal,tiger shark,69,Senior,,,,,,
other,Entire calf muscle removed and bitten both arms and legs,fatal,tiger shark,48,Adult,,,,,,
fishing,Life threatening injuries to neck and arm,fatal,other,40,Adult,,,,,,
fishing,Not stated but reported as minor injuries both arms,non-fatal,other,,Unknown,,,,,,
surfing,Not stated minor injuries ,non-fatal,other,,Unknown,,,,,,
swimming,Minor to  moderate injuries both legs,non-fatal,other,57,Adult,,,,,,
diving,Not stated but injuries fatal,fatal,white shark,24,Young Adult,,,,,,
diving,Not stated but reported as minor injuries,non-fatal,other,45,Adult,,,,,,
surfing,Right leg severted below knee,non-fatal,other,61,Senior,,,,,,
snorkeling,30cm (1ft) bite to lower calf ,non-fatal,tiger shark,57,Adult,,,,,,
surfing,Both feet bitten,non-fatal,tiger shark,27,Young Adult,,,,,,
swimming,Back and thigh extensive tissue loss,non-fatal,bull shark,38,Adult,,,,,,
surfing,Bite to left arm,non-fatal,bull shark,16,Teen,,,,,,
other,Found inside shark,fatal,tiger shark,68,Senior,,,,,,
fishing,Bite to left leg,non-fatal,bull shark,33,Young Adult,,,,,,
swimming,Leg severed,fatal,white shark,30,Young Adult,,,,,,
fishing,Head right arm and leg severed,fatal,tiger shark,16,Teen,,,,,,
swimming,Right lower leg amputated after serious bite,non-fatal,reef shark,15,Teen,,,,,,
surfing,Serious injury to leg,non-fatal,white shark,23,Young Adult,,,,,,
surfing,Minor injury to lower left leg,non-fatal,other,41,Adult,,,,,,
fishing,Not specified ,non-fatal,other,43,Adult,,,,,,
wading,Minor injury to left foot,non-fatal,other,26,Young Adult,,,,,,
swimming,Bite to left leg calf muscle removed,non-fatal,bull shark,,Unknown,,,,,,
swimming,Minor cuts to calf,non-fatal,other,18,Teen,,,,,,
swimming,Superficial wounds to leg,non-fatal,other,18,Teen,,,,,,
swimming,Bite to left leg  ,non-fatal,other,,Unknown,,,,,,
surfing,Not specific shark bite injuries to the body,unknown,other,49,Adult,,,,,,
swimming,Multiple serious lacerations to the body,non-fatal,tiger shark,25,Young Adult,,,,,,
wading,Left hand bitten off and right leg bitten,non-fatal,bull shark,15,Teen,,,,,,
swimming,Significant injuries to pelvic and abdominal region lower left arm amputated,non-fatal,bull shark,45,Adult,,,,,,
swimming,Significant bites to torso left arm and hand,non-fatal,other,46,Adult,,,,,,
wading,Bitten on left hand by 4-5ft shark,non-fatal,other,19,Young Adult,,,,,,
snorkeling,Major damage to right leg later amputated lower left leg left hand and forearm,non-fatal,other,27,Young Adult,,,,,,
fishing,Bitten on left arm,non-fatal,other,65,Senior,,,,,,
swimming,Bite wounds to left arm and leg wounds to abdomen and left hand,non-fatal,bull shark,64,Senior,,,,,,
boating,Bitten on left leg puncture wounds to kneecap,non-fatal,reef shark,24,Young Adult,,,,,,
fishing,Minor bite to left leg,non-fatal,white shark,16,Teen,,,,,,
surfing,Minor injuries left foot,non-fatal,other,26,Young Adult,,,,,,
swimming,Minor injury to left leg,non-fatal,other,,Unknown,,,,,,
swimming,"Minor injuries to back, abdomen and legs",non-fatal,tiger shark,13,Teen,,,,,,
surfing,"No injury, shark bit surfboard",non-fatal,tiger shark,,Unknown,,,,,,
swimming,Lacerations to left foot,non-fatal,other,11,Child,,,,,,
swimming,Leg bitten,non-fatal,tiger shark,46,Adult,,,,,,
fishing,Calf of lower left leg injured,non-fatal,bull shark,32,Young Adult,,,,,,
fishing,Shoulder bitten,non-fatal,reef shark,,Unknown,,,,,,
swimming,Right leg bitten,non-fatal,bull shark,29,Young Adult,,,,,,
swimming,Right leg injured ,non-fatal,other,10,Child,,,,,,
surfing,Leg bitten,non-fatal,white shark,64,Senior,,,,,,
fishing,Provoked incident. Lacerations and puncture wounds to hand and calf from hooked shark ,non-fatal,other,62,Senior,,,,,,
surfing,FATAL,fatal,other,39,Adult,,,,,,
other,FATAL,fatal,white shark,22,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,15,Teen,,,,,,
surfing,Injury to right thigh,non-fatal,other,16,Teen,,,,,,
other,Puncture wounds to right ankle,non-fatal,whaler shark,46,Adult,,,,,,
wading,Significant injury to leg,non-fatal,other,21,Young Adult,,,,,,
swimming,FATAL,fatal,other,66,Senior,,,,,,
swimming,Injury to lower left leg,non-fatal,other,52,Adult,,,,,,
snorkeling,Leg severely  injured,non-fatal,other,20,Young Adult,,,,,,
paddle,FATAL,fatal,other,44,Adult,,,,,,
swimming,FATAL,fatal,other,26,Young Adult,,,,,,
swimming,Puncture wounds to right upper arm,non-fatal,bull shark,21,Young Adult,,,,,,
swimming,Lacerations to right forearm,non-fatal,other,66,Senior,,,,,,
fishing,Minor injury,non-fatal,other,,Unknown,,,,,,
other,Minor injury. Wetsuit shredded,non-fatal,white shark,,Unknown,,,,,,
other,No injury. No attack; the shark  simply head-butted him,non-fatal,white shark,66,Senior,,,,,,
surfing,FATAL,fatal,white shark,55,Adult,,,,,,
surfing,Bite to right thigh,non-fatal,tiger shark,30,Young Adult,,,,,,
fishing,Both arms injured,non-fatal,other,59,Adult,,,,,,
fishing, Dinghy damaged by shark. No injurty to the 5 men onboard,non-fatal,whaler shark,,Unknown,,,,,,
snorkeling,Foot injured,non-fatal,other,8,Child,,,,,,
surfing,Left leg and hand injured,non-fatal,tiger shark,50,Adult,,,,,,
surfing,Minor linjury to left lower leg ,non-fatal,other,52,Adult,,,,,,
surfing,Minor injury. Shark bit surfboard,non-fatal,other,45,Adult,,,,,,
swimming,Minor injury. Shark bit surfboard,non-fatal,other,64,Senior,,,,,,
swimming,Body not recovered,fatal,other,52,Adult,,,,,,
swimming,Non-lifethreatening injuries,non-fatal,other,,Unknown,,,,,,
swimming,"Left arm severely bitten, surgically amputated",non-fatal,tiger shark,34,Young Adult,,,,,,
surfing,Llacerations to face and chin,non-fatal,other,38,Adult,,,,,,
surfing,Bite to lower back,non-fatal,other,,Unknown,,,,,,
fishing,Laceration to left thigh,unknown,other,,Unknown,,,,,,
surfing,Left hand bitten,non-fatal,other,,Unknown,,,,,,
wading,Right foot bitten,non-fatal,other,37,Adult,,,,,,
surfing,Severe injuries to lower limbs,unknown,white shark,44,Adult,,,,,,
wading,Minor injury to shoulder,non-fatal,other,9,Child,,,,,,
fishing,"Shark bit kayak, no injury to occupant",non-fatal,other,19,Young Adult,,,,,,
wading,Minor lacerations to right foot,non-fatal,other,35,Young Adult,,,,,,
fishing,Leg bitten,non-fatal,other,,Unknown,,,,,,
wading,Laceration to left posterior thigh,non-fatal,other,65,Senior,,,,,,
surfing,Ankle injured,non-fatal,other,22,Young Adult,,,,,,
fishing,Lower leg bitten,non-fatal,other,22,Young Adult,,,,,,
swimming,Superficial injuries to abomen and thighs,non-fatal,other,26,Young Adult,,,,,,
surfing,Laceration to leg,non-fatal,other,,Unknown,,,,,,
snorkeling,Lower left leg bitten,non-fatal,other,77,Senior,,,,,,
other,"Lower right leg bittenLa Patria, 7/20/2023w",non-fatal,white shark,38,Adult,,,,,,
surfing,Severe injury to foot,non-fatal,other,21,Young Adult,,,,,,
snorkeling,Serious injury to right leg,non-fatal,other,42,Adult,,,,,,
swimming,Injury to right hand,non-fatal,other,49,Adult,,,,,,
swimming,Laceration to right knee,non-fatal,other,47,Adult,,,,,,
surfing,Injury to left heel and toes,non-fatal,other,15,Teen,,,,,,
swimming,3 small puncture wounds to left leg,non-fatal,tiger shark,15,Teen,,,,,,
swimming,Multiple puncture wounds to right thigh,non-fatal,other,,Unknown,,,,,,
fishing,Hand bitten,non-fatal,other,,Unknown,,,,,,
other,Sharks bit their inflatable boats,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Fatal,fatal,tiger shark,24,Young Adult,,,,,,
other,Calf severely bitten,unknown,reef shark,73,Senior,,,,,,
surfing,Buttock bitten,non-fatal,reef shark,25,Young Adult,,,,,,
fishing,"Fatal, bite to leg, shoulder and head",fatal,other,42,Adult,,,,,,
snorkeling,Left foot severed,non-fatal,reef shark,22,Young Adult,,,,,,
surfing,Lacerations to left foot and calf,non-fatal,other,15,Teen,,,,,,
fishing,PROVOKED INCIDENT   Hooked shark bit his foot,non-fatal,other,35,Young Adult,,,,,,
fishing, ,non-fatal,other,20,Young Adult,,,,,,
swimming,Minor inuries to right knee,non-fatal,other,24,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,46,Adult,,,,,,
