Date,Year,Type,Country,Source
18-Mar,2026,Unprovoked,usa,us sun: mendocino coast news:melissa michaelson:
14-Mar,2026,Unprovoked,australia,people magazine: kevin mcmurray trackingsharks.com
10-Mar,2026,Unprovoked,australia,perth now: kevin mcmurray trackingsharks.com
05-Mar,2026,Unprovoked,australia,news.com.au: abc news: andy currie
22-Feb,2026,Unprovoked,new caledonia,johannes marchand: andy currie
06-Feb,2026,Unprovoked,cayman islands,kevin mcmurray trackingshark.som
29-Jan,2026,Unprovoked,brazil,kevin mcmurray trackingsharks.com: tv globo: people: surfer magazine
29-Jan,2026,Unprovoked,australia,bob myatt gsaf
24-Jan,2026,Unprovoked,australia,bob myatt gsaf
20-Jan,2026,Unprovoked,australia,bob myatt gsaf
19-Jan,2026,Unprovoked,australia,andy currie
19-Jan,2026,Unprovoked,australia,9 news: bob myatt gsaf
18-Jan,2026,Unprovoked,australia,bob myatt gsaf
13-Jan,2026,Unprovoked,usa,bob myatt gsaf
10-Jan,2026,Unprovoked,australia,bob myatt gsaf
08-Jan,2026,Unprovoked,us virgin islands,todd smith: kevinmcmurray trackingsharks.com
05-Jan,2026,Unprovoked,mozambique,kevin mcmurray trackingsharks.com : macao news:
03-Jan,2026,Provoked,new caledonia,andy currie: province sud:
25-Dec,2025,Unprovoked,mozambique,kevin mcmurray trackingsharks.com
21-Dec,2025,Unprovoked,australia,7 news: facebook: bob myatt gsaf
21-Dec,2025,Unprovoked,usa,kevin mcmurray tracking sharks.com: ralph collier gsaf: james kingsley: sfgate:
12-Dec,2025,Unprovoked,usa,kevin mcmurray tracking sharks.com:andrew currie: facebook sonoma sheriff's office:
09-Dec,2025,Provoked,usa,hawaii news now:diver.net
27-Nov,2025,Unprovoked,australia,media: todd smith: andy currie: simon de marchi: kevin mcmurray tracking sharks.com
27-Nov,2025,Unprovoked,australia,media: todd smith: andy currie: simon de marchi: kevin mcmurray tracking sharks.com
10-Nov,2025,Unprovoked,australia,andy currie
09-Nov,2025,Unprovoked,french polynesia,andrew currie
05-Nov,2025,Unprovoked,usa,james kingsley: andy currie: beat of hawaii:
